,title,Metascore,imdbRating,imdbID,imdbVotes,BoxOffice,Runtime
1,,67,7.6,tt3896198,"712,189","$389,813,101",136 min
2,,67,7.6,tt3896198,"712,189","$389,813,101",136 min
3,,67,7.6,tt3896198,"712,189","$389,813,101",136 min
4,,67,7.6,tt3896198,"712,189","$389,813,101",136 min
5,,67,7.6,tt3896198,"712,189","$389,813,101",136 min
1,,67,7.6,tt3896198,"712,189","$389,813,101",136 min
2,,67,7.6,tt3896198,"712,189","$389,813,101",136 min
3,,67,7.6,tt3896198,"712,189","$389,813,101",136 min
4,,67,7.6,tt3896198,"712,189","$389,813,101",136 min
5,,67,7.6,tt3896198,"712,189","$389,813,101",136 min
